status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angries,num_thankfuls
115634898452178_1345841768764812,"Aevastama võivad ajada nii külmetus, tolm, allergiad kui ka muud tegurid. Aevastamine on refleks, mida ei ole võimalik kontrollida – OnlyMyHealth järjestas mõned huvitavad faktid aevastamise kohta.","Kuus fakti, mida võiksid teada aevastamisest",link,http://tervis.postimees.ee/3730409/kuus-fakti-mida-voiksid-teada-aevastamisest?utm_source=pm_fb&utm_medium=wallpost&utm_content=3730409&utm_campaign=fb_post,2016-06-13 15:07:56,6,2,14,6,0,0,0,0,0,0
115634898452178_1345809618768027,"Keskerakonna volikogus partei presidendikandidaadiks valitud Mailis Reps märkis eile erakonnakaaslastele saadetud kirjas, et Eesti huvides on ühtehoidev riik ning head ja konstruktiivsed suhted kõigi naabrite, sealhulgas Venemaaga.",Reps kirjas erakonnakaaslastele: meie huvides on head suhted Venemaaga,link,http://www.postimees.ee/3730337/reps-kirjas-erakonnakaaslastele-meie-huvides-on-head-suhted-venemaaga?utm_source=pm_fb&utm_medium=wallpost&utm_content=3730337&utm_campaign=fb_post,2016-06-13 14:45:00,28,15,1,21,0,0,0,3,4,0
115634898452178_1345809212101401,Tallinna kesklinnas langes eile öösel Vana-Viru tänaval asuvas klubis agressiivselt käitunud meest ära viima tulnud üks politseinikest rünnaku ohvriks.,Purjus mees ründas politseinikku,link,http://tallinncity.postimees.ee/3731517/purjus-mees-politseinikku?utm_source=pm_fb&utm_medium=wallpost&utm_content=3731517&utm_campaign=fb_post,2016-06-13 14:30:00,11,6,2,7,0,0,1,0,3,0
115634898452178_1345803488768640,"Politseil õnnestus täna õhtul leida üles 15-aastane Grete, kellega lähedastel reede õhtust alates polnud õnnestunud ühendust saada.",15-aastane Grete leiti üles,link,http://www.postimees.ee/3730059/15-aastane-grete-leiti-ules?utm_source=pm_fb&utm_medium=wallpost&utm_content=3730059&utm_campaign=fb_post,2016-06-13 14:15:00,254,14,36,246,4,0,0,0,4,0
115634898452178_1345787825436873,"Alkoholipudelitele pole kohustuslik märkida joogi kaloraaži, mistõttu jääb selgusetuks, kui palju kaloreid endale baaris õlut libistades või rannas kokteili limpsides sisse jood.","Vaata, kui palju kaloreid endale alkoholiga «sisse jood»",link,http://tarbija24.postimees.ee/3730429/vaata-kui-palju-kaloreid-endale-alkoholiga-sisse-jood?utm_source=pm_fb&utm_medium=wallpost&utm_content=3730429&utm_campaign=fb_post,2016-06-13 14:00:00,91,8,101,81,1,8,1,0,0,0
115634898452178_1345774678771521,,Katse: söögikohad ei vaevu avaldama infot toiteväärtuse kohta,link,http://tarbija24.postimees.ee/3728111/katse-soogikohad-ei-vaevu-avaldama-infot-toitevaartuse-kohta?utm_source=pm_fb&utm_medium=wallpost&utm_content=3728111&utm_campaign=fb_post,2016-06-13 13:45:00,5,1,1,5,0,0,0,0,0,0
115634898452178_1345744432107879,"Süüria konflikti eest naaberriiki Türki põgenenud tuhandete laste töötingimused sarnanevad orjade omale, kirjutas veebiväljaanne EUobserver täna avaldatud artiklis.",Väljaanne: Süüria põgenikest lapsed töötavad nagu orjad,link,http://maailm.postimees.ee/3731343/valjaanne-suuria-pogenikest-lapsed-tootavad-nagu-orjad?utm_source=pm_fb&utm_medium=wallpost&utm_content=3731343&utm_campaign=fb_post,2016-06-13 13:30:00,6,3,5,5,0,0,0,0,1,0
115634898452178_1345743415441314,"Kui riided lähevad suvel õhemaks, siis rasvakiht enamasti mitte ja puhkuse ajal kipub kaal pigem tõusma. Grillipeod, piknikud ja tänavakohvikud jätavad oma jälje ja teevad suve raskeks.","Maitsvad suvised toidud, millega kaalust alla võtta",link,http://naine24.postimees.ee/3731341/maitsvad-suvised-toidud-millega-kaalust-alla-votta?utm_source=pm_fb&utm_medium=wallpost&utm_content=3731341&utm_campaign=fb_post,2016-06-13 13:15:00,42,1,17,40,1,1,0,0,0,0
115634898452178_1345742932108029,,"3 lihtsat nippi, kuidas tuvastada, kas arbuus on küps",link,http://elu24.postimees.ee/3731011/3-lihtsat-nippi-kuidas-tuvastada-kas-arbuus-on-kups?utm_source=pm_fb&utm_medium=wallpost&utm_content=3731011&utm_campaign=fb_post,2016-06-13 13:00:00,60,2,36,54,1,3,0,1,1,0
115634898452178_1345743212108001,"Alates 20. maist peavad tubakatoodetel olema hoiatavad pildid. Uute pilthoiatuste kasutamine on kohustuslik sigarettide ja suitsetamistubaka, sealhulgas vesipiibutubaka pakenditel.",Piltuudis: esimesed kolepiltidega suitsupakid jõudsid Eestis müügile,link,http://tarbija24.postimees.ee/3731385/piltuudis-esimesed-kolepiltidega-suitsupakid-joudsid-eestis-muugile?utm_source=pm_fb&utm_medium=wallpost&utm_content=3731385&utm_campaign=fb_post,2016-06-13 12:45:00,288,42,76,243,1,9,29,2,4,0
115634898452178_1345742575441398,Vahur Kersna kevadel võetud imearmas koer Nöhvik sai rahvusvahelisel koertenäitusel Lätis teise koha.,Vahur Kersna imearmas koerake sai rahvusvahelisel koertenäitusel teise koha,link,http://elu24.postimees.ee/3730897/vahur-kersna-imearmas-koerake-sai-rahvusvahelisel-koertenaitusel-teise-koha?utm_source=pm_fb&utm_medium=wallpost&utm_content=3730897&utm_campaign=fb_post,2016-06-13 12:30:00,474,13,4,454,9,11,1,0,0,0
